model,phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,step
VGG16+Inception+ViT_v4,S4_full,1,0.1216,0.919,0.3163,0.8,0.625,26
VGG16+Inception+ViT_v4,S4_full,2,0.1269,0.914,0.3401,0.798,0.613,27
VGG16+Inception+ViT_v4,S4_full,3,0.1235,0.917,0.325,0.814,0.605,28
VGG16+Inception+ViT_v4,S4_full,4,0.1151,0.923,0.3011,0.822,0.68,29
VGG16+Inception+ViT_v4,S4_full,5,0.1081,0.926,0.2988,0.822,0.679,30
VGG16+Inception+ViT_v4,S4_full,6,0.1034,0.931,0.3133,0.826,0.685,31
VGG16+Inception+ViT_v4,S4_full,7,0.0975,0.937,0.3095,0.83,0.681,32
VGG16+Inception+ViT_v4,S4_full,8,0.0929,0.938,0.3076,0.826,0.669,33
VGG16+Inception+ViT_v4,S4_full,9,0.0838,0.943,0.305,0.831,0.688,34
VGG16+Inception+ViT_v4,S4_full,10,0.0779,0.949,0.3286,0.833,0.68,35
VGG16+Inception+ViT_v4,S4_full,11,0.0798,0.95,0.3029,0.838,0.7,36
VGG16+Inception+ViT_v4,S4_full,12,0.0737,0.954,0.3153,0.836,0.692,37
VGG16+Inception+ViT_v4,Phase A,1,0.4837,0.713,0.5157,0.672,0.263,38
VGG16+Inception+ViT_v4,Phase A,2,0.3278,0.795,0.4692,0.689,0.217,39
VGG16+Inception+ViT_v4,Phase A,3,0.2879,0.811,0.4617,0.718,0.338,40
VGG16+Inception+ViT_v4,Phase A,4,0.2672,0.819,0.5961,0.691,0.251,41
VGG16+Inception+ViT_v4,Phase A,5,0.2433,0.838,0.4629,0.69,0.285,42
VGG16+Inception+ViT_v4,Phase A,6,0.2235,0.849,0.2919,0.79,0.563,43
VGG16+Inception+ViT_v4,Phase A,7,0.211,0.852,0.348,0.758,0.492,44
VGG16+Inception+ViT_v4,Phase A,8,0.1931,0.859,0.2767,0.802,0.613,45
VGG16+Inception+ViT_v4,Phase A,9,0.18,0.87,0.3093,0.784,0.56,46
VGG16+Inception+ViT_v4,Phase A,10,0.1744,0.874,0.247,0.812,0.645,47
VGG16+Inception+ViT_v4,Phase A,11,0.1626,0.879,0.3626,0.756,0.514,48
VGG16+Inception+ViT_v4,Phase A,12,0.153,0.886,0.3011,0.782,0.547,49
VGG16+Inception+ViT_v4,Phase A,13,0.1467,0.895,0.2183,0.826,0.699,50
VGG16+Inception+ViT_v4,Phase A,14,0.1271,0.905,0.3141,0.78,0.636,51
VGG16+Inception+ViT_v4,Phase A,15,0.1191,0.908,0.253,0.83,0.692,52
VGG16+Inception+ViT_v4,Phase A,16,0.1047,0.92,0.2082,0.833,0.743,53
VGG16+Inception+ViT_v4,Phase A,17,0.0907,0.932,0.4457,0.76,0.514,54
VGG16+Inception+ViT_v4,Phase A,18,0.088,0.937,0.2087,0.854,0.743,55
VGG16+Inception+ViT_v4,Phase A,19,0.0756,0.948,0.2845,0.828,0.692,56
VGG16+Inception+ViT_v4,Phase A,20,0.0658,0.957,0.2212,0.846,0.725,57
VGG16+Inception+ViT_v4,Phase A,21,0.0576,0.963,0.2077,0.846,0.738,58
VGG16+Inception+ViT_v4,Phase A,22,0.0523,0.965,0.1948,0.859,0.766,59
VGG16+Inception+ViT_v4,Phase A,23,0.0465,0.972,0.2023,0.869,0.77,60
VGG16+Inception+ViT_v4,Phase A,24,0.0412,0.974,0.2093,0.862,0.748,61
VGG16+Inception+ViT_v4,Phase A,25,0.0386,0.979,0.2043,0.861,0.774,62
VGG16+Inception+ViT_v4,Phase A,26,0.0316,0.985,0.2078,0.866,0.764,63
VGG16+Inception+ViT_v4,Phase A,27,0.0324,0.985,0.2118,0.866,0.769,64
VGG16+Inception+ViT_v4,Phase A,28,0.0313,0.986,0.2084,0.869,0.777,65
VGG16+Inception+ViT_v4,Phase A,29,0.0286,0.988,0.2067,0.871,0.775,66
VGG16+Inception+ViT_v4,Phase A,30,0.0298,0.987,0.2032,0.87,0.779,67
VGG16+Inception+ViT_v4,Phase A,16,0.0323,0.989,0.2962,0.827,0.683,68
VGG16+Inception+ViT_v4,Phase A,17,0.042,0.979,0.3786,0.78,0.638,69
VGG16+Inception+ViT_v4,Phase A,18,0.072,0.956,0.4715,0.779,0.509,70
VGG16+Inception+ViT_v4,Phase A,19,0.0888,0.943,0.3723,0.764,0.571,71
VGG16+Inception+ViT_v4,Phase A,20,0.0867,0.946,0.41,0.78,0.518,72
VGG16+Inception+ViT_v4,Phase A,21,0.0686,0.96,0.4653,0.782,0.529,73
VGG16+Inception+ViT_v4,Phase A,22,0.0634,0.964,0.3885,0.76,0.634,74
VGG16+Inception+ViT_v4,Phase A,23,0.0487,0.972,0.4425,0.774,0.568,75
VGG16+Inception+ViT_v4,Phase A,24,0.0486,0.973,0.4489,0.756,0.593,76
VGG16+Inception+ViT_v4,Phase A,25,0.0463,0.974,0.3691,0.817,0.643,77
VGG16+Inception+ViT_v4,Phase A,26,0.0414,0.982,0.4172,0.797,0.576,78
VGG16+Inception+ViT_v4,Phase B,1,0.0304,0.985,0.2112,0.868,0.767,79
VGG16+Inception+ViT_v4,Phase B,2,0.0305,0.985,0.2036,0.864,0.766,80
VGG16+Inception+ViT_v4,Phase B,3,0.0301,0.987,0.2159,0.867,0.769,81
